,title,year,advisory,movie_length,genre,rating,description,metascore
140,The Truman Show,1998,PG,1h 43m,ComedyDrama,8.2,An insurance salesman discovers his whole life is actually a reality TV show.An insurance salesman discovers his whole life is actually a reality TV show.An insurance salesman discovers his whole life is actually a reality TV show.,90
141,The Sixth Sense,1999,PG-13,1h 47m,DramaMysteryThriller,8.2,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",64
142,A Beautiful Mind,2001,PG-13,2h 15m,BiographyDrama,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",72
143,Monty Python and the Holy Grail,1975,PG,1h 31m,AdventureComedyFantasy,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91
144,Yojimbo,1961,Not Rated,1h 50m,ActionDramaThriller,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,93
145,The Treasure of the Sierra Madre,1948,Passed,2h 6m,AdventureDramaWestern,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,98
146,Shutter Island,2010,R,2h 18m,MysteryThriller,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",63
147,Jurassic Park,1993,PG-13,2h 7m,ActionAdventureSci-Fi,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din... Read allA pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,68
148,Rashomon,1950,Not Rated,1h 28m,CrimeDramaMystery,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",98
149,The Great Escape,1963,Approved,2h 52m,AdventureDramaHistory,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,86
150,Kill Bill: Vol. 1,2003,R,1h 51m,ActionCrimeDrama,8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",69
151,No Country for Old Men,2007,R,2h 2m,CrimeDramaThriller,8.2,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,92
152,Finding Nemo,2003,G,1h 40m,AnimationAdventureComedy,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",90
153,The Elephant Man,1980,PG,2h 4m,BiographyDrama,8.2,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte... Read allA Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",78
154,Chinatown,1974,R,2h 10m,DramaMysteryThriller,8.2,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",92
155,The Thing,1982,R,1h 49m,HorrorMysterySci-Fi,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,57
156,Raging Bull,1980,R,2h 9m,BiographyDramaSport,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",89
157,Gone with the Wind,1939,Passed,3h 58m,DramaRomanceWar,8.2,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,97
158,V for Vendetta,2005,R,2h 12m,ActionDramaSci-Fi,8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",62
159,Inside Out,2015,PG,1h 35m,AnimationAdventureComedy,8.2,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and... Read allAfter young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",94
160,"Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,ActionComedyCrime,8.2,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",66
161,Dial M for Murder,1954,PG,1h 45m,CrimeThriller,8.2,A former tennis star arranges the murder of his adulterous wife.A former tennis star arranges the murder of his adulterous wife.A former tennis star arranges the murder of his adulterous wife.,75
162,The Secret in Their Eyes,2009,R,2h 9m,DramaMysteryRomance,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi... Read allA retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,80
163,Howl's Moving Castle,2004,PG,1h 59m,AnimationAdventureFamily,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ... Read allWhen an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",80
164,The Bridge on the River Kwai,1957,PG,2h 41m,AdventureDramaWar,8.2,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t... Read allBritish POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",87
165,"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55m,ComedyCrimeDrama,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,88
166,Trainspotting,1996,R,1h 33m,Drama,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",83
167,Warrior,2011,PG-13,2h 20m,ActionDramaSport,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ... Read allThe youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",71
168,Gran Torino,2008,R,1h 56m,Drama,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",72
169,Fargo,1996,R,1h 38m,CrimeThriller,8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,85
170,Prisoners,2013,R,2h 33m,CrimeDramaMystery,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",70
171,My Neighbor Totoro,1988,G,1h 26m,AnimationComedyFamily,8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86
172,Million Dollar Baby,2004,PG-13,2h 12m,DramaSport,8.1,A determined woman works with a hardened boxing trainer to become a professional.A determined woman works with a hardened boxing trainer to become a professional.A determined woman works with a hardened boxing trainer to become a professional.,86
173,Catch Me If You Can,2002,PG-13,2h 21m,BiographyCrimeDrama,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",75
174,The Gold Rush,1925,Passed,1h 35m,AdventureComedyDrama,8.2,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",75
175,Children of Heaven,1997,PG,1h 29m,DramaFamilySport,8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",77
176,Blade Runner,1982,R,1h 57m,ActionDramaSci-Fi,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",84
177,On the Waterfront,1954,Approved,1h 48m,CrimeDramaThriller,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ... Read allAn ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",91
178,The Third Man,1949,Approved,1h 33m,Film-NoirMysteryThriller,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",97
179,12 Years a Slave,2013,R,2h 14m,BiographyDramaHistory,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",96
180,Before Sunrise,1995,R,1h 41m,DramaRomance,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",77
181,Wild Strawberries,1957,Not Rated,1h 31m,DramaRomance,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",88
182,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,AdventureFamilyFantasy,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",85
183,Ben-Hur,1959,G,3h 32m,AdventureDrama,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",90
184,The General,1926,Passed,1h 7m,ActionAdventureComedy,8.2,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ... Read allAfter being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",90
185,Gone Girl,2014,R,2h 29m,DramaMysteryThriller,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",79
186,The Deer Hunter,1978,R,3h 3m,DramaWar,8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,86
187,In the Name of the Father,1993,R,2h 13m,BiographyCrimeDrama,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,84
188,The Grand Budapest Hotel,2014,R,1h 39m,AdventureComedyCrime,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",88
189,Barry Lyndon,1975,PG,3h 5m,AdventureDramaWar,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,89
190,The Wages of Fear,1953,Not Rated,2h 11m,AdventureDramaThriller,8.2,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",85
191,Sherlock Jr.,1924,Passed,45m,ActionComedyRomance,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",85
192,Mr. Smith Goes to Washington,1939,Passed,2h 9m,ComedyDrama,8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries... Read allA naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",73
193,Memories of Murder,2003,Not Rated,2h 12m,CrimeDramaMystery,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",82
194,Hacksaw Ridge,2016,R,2h 19m,BiographyDramaHistory,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor ... Read allWorld War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",71
195,Klaus,2019,PG,1h 36m,AnimationAdventureComedy,8.1,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv... Read allA simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",65
196,Wild Tales,2014,R,2h 2m,ComedyDramaThriller,8.1,Six short stories that explore the extremities of human behavior involving people in distress.Six short stories that explore the extremities of human behavior involving people in distress.Six short stories that explore the extremities of human behavior involving people in distress.,77
197,The Seventh Seal,1957,Not Rated,1h 36m,DramaFantasy,8.1,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",88
198,Room,2015,R,1h 58m,DramaThriller,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",86
199,Mad Max: Fury Road,2015,R,2h,ActionAdventureSci-Fi,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named ... Read allIn a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",90
200,Mary and Max,2009,Not Rated,1h 32m,AnimationComedyDrama,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y... Read allA tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",90
201,How to Train Your Dragon,2010,PG,1h 38m,AnimationActionAdventure,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",75
202,The Big Lebowski,1998,R,1h 57m,ComedyCrime,8.1,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help whi... Read allUltimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",71
203,"Monsters, Inc.",2001,G,1h 32m,AnimationAdventureComedy,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ... Read allIn order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",79
204,Jaws,1975,PG,2h 4m,AdventureThriller,8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",87
205,The Passion of Joan of Arc,1928,Passed,1h 54m,BiographyDramaHistory,8.2,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",87
206,Tokyo Story,1953,Not Rated,2h 16m,Drama,8.2,"An old couple visit their children and grandchildren in the city, but receive little attention.An old couple visit their children and grandchildren in the city, but receive little attention.An old couple visit their children and grandchildren in the city, but receive little attention.",87
207,Dead Poets Society,1989,PG,2h 8m,ComedyDrama,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,79
208,Hotel Rwanda,2004,PG-13,2h 1m,BiographyDramaHistory,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",79
